phoneme,l1,gender,F1_mean,F1_sd,F1_iqr,F2_mean,F2_sd,F2_iqr,n,F1_cv
a,L1,F,0.7638581305327754,0.5142926254992464,0.6306175125060558,-0.5325605414304054,0.6335387182904416,1.119074437873551,303,0.6732829107160747
a,L1,M,0.6073981568956355,0.8386103828323972,0.7389917141000684,-0.46277278421451035,0.666425862632641,0.8992307688643615,1033,1.3806600716710589
a,L2,F,0.768598850284269,0.7359158411149311,0.7236571285408786,-0.48778470543443897,0.46727360741672846,0.6819838938473864,1462,0.9574771557916721
a,L2,M,0.9188265295150052,0.6512260849176704,0.7219910103921361,-0.5656188420679902,0.5407643135551697,0.6526577492658592,301,0.7087584696334515
e,L1,F,-0.09738483065048203,0.35445024244079726,0.5423271591782757,0.6621752186302498,0.1582429790725747,0.2220872002610884,24,3.6396863872252654
e,L1,M,0.03796008786805677,0.47724983831086487,0.7097441371600886,0.34560553021831414,0.3202977168486028,0.4322727098970186,85,12.572411317110472
e,L2,F,-0.03703405145638901,0.4465174562868858,0.529593643916723,0.64992160882585,0.41727869893640634,0.5816080926079144,107,12.056943238108882
e,L2,M,-0.16518611213210935,0.20079688724301992,0.18309864063586062,0.4732831999067181,0.4424403057224183,0.2483449087708688,25,1.2155797158203618
i,L1,F,-0.8135274744293151,0.32548198735965567,0.39740438209620377,1.1469461790912292,0.2612465122047838,0.1914732598019433,204,0.4000872712848198
i,L1,M,-0.7356059785299238,0.4462279437255856,0.24901560857053273,1.0784926511429098,0.3494049430738549,0.3172562684178353,704,0.6066127203280111
i,L2,F,-0.8899180600047557,0.42824506036374965,0.4727124190128956,1.3738004590785293,0.3148332880112509,0.37446372869513267,778,0.4812185296716656
i,L2,M,-0.9607305964358241,0.22618312793264478,0.19623074733003065,1.2359005500926337,0.30200545171652204,0.41037897311545923,184,0.235428255092273
o,L1,F,-0.4449099910906124,0.08670361633752945,0.14048835826230233,-0.8896187986956797,0.15373807490290167,0.2254267135514234,12,0.19487900490836807
o,L1,M,-0.2847626277723446,0.14256858085750262,0.19952536256293002,-0.7464767384884752,0.1848160651583277,0.2431431988193825,42,0.5006576248182399
o,L2,F,-0.41878178162000684,0.26995477144247587,0.29652074358176883,-0.7064880898637503,0.28940495915035547,0.5030037708926154,48,0.6446191866279101
o,L2,M,-0.2850484917635759,0.2674619567945713,0.4519138310103749,-1.0405847193702307,0.2017189999903766,0.35812882045762584,12,0.9383033572281058
u,L1,F,-0.5551414343792448,0.27716624434972503,0.3740367234299492,-1.3486312637850253,0.3781661160175199,0.3982315278419848,73,0.4992714057808536
u,L1,M,-0.40465707289662967,0.33527739129719863,0.304703619745274,-1.40722778499161,0.5914136363421034,0.6027594191855019,250,0.8285469691588606
u,L2,F,-0.7614872916003969,0.5665557556197116,0.4627037432970058,-1.2169069665053303,0.5261491761385795,0.5594179778203475,317,0.7440120956306401
u,L2,M,-0.6412456119806186,0.3649269958819239,0.30599481650934424,-0.8818981714167555,1.0303149062171384,1.285296090979882,73,0.5690908273894804
y,L1,F,-0.2881321371577794,1.940752267645906,0.26359869808918157,0.343702101872184,0.48048713774766283,0.4529449807371419,60,6.735632778731523
y,L1,M,0.0015117555572131728,1.6819973002386521,0.27611167470571335,0.34069464265184285,0.63430134134502,0.5878592432121356,213,1112.6119511935576
y,L2,F,-0.8091689169316167,0.4583703947892937,0.4682531782536493,-0.027054601300791084,0.48593569359016237,0.636627843551828,205,0.5664705912424844
y,L2,M,-0.7571865210129015,0.5049333871250263,0.38335803706822613,0.13131788989364063,0.47393368687425996,0.37829207612459376,60,0.666854695788256
