phoneme,rep,diff,ci_lo,ci_hi,rope_class,p,delta0
i,acoustic,0.15034967564738433,0.12607863291442406,0.1746207183803446,equivalent,6.369653818690893e-34,
e,acoustic,0.06946464693318964,-0.16298977655033714,0.3019190704167164,indeterminate,0.5580709113254638,
a,acoustic,-0.1513647616607171,-0.18770983860000387,-0.11501968472143034,equivalent,3.275448325012275e-16,
o,acoustic,0.07168419291676092,0.012807382655652344,0.1305610031778695,equivalent,0.01701627881145013,
u,acoustic,0.3003130452881539,0.25514155469449434,0.34548453588181344,non-equivalent,8.191439635654873e-39,
y,acoustic,0.7352530750139948,0.5858442374651327,0.884661912562857,non-equivalent,5.145054649630387e-22,
i,whisper,0.03634139522910118,0.018597273156046867,0.054085519164800644,equivalent,,0.6312122344970703
e,whisper,0.040144726634025574,0.01788243092596531,0.06240702047944069,equivalent,,0.6312122344970703
a,whisper,0.13893839716911316,0.0779353603720665,0.19994142651557922,equivalent,,0.6312122344970703
o,whisper,0.016745280474424362,0.0070902034640312195,0.026400359347462654,equivalent,,0.6312122344970703
u,whisper,0.03633778914809227,0.02036786638200283,0.05230771005153656,equivalent,,0.6312122344970703
y,whisper,0.04780116304755211,0.028728535398840904,0.06687378883361816,equivalent,,0.6312122344970703
i,xlsr,0.08629579842090607,0.0441751591861248,0.12841643393039703,equivalent,,0.48742371797561646
e,xlsr,0.10258282721042633,0.04918680712580681,0.15597884356975555,equivalent,,0.48742371797561646
a,xlsr,0.09784756600856781,0.060745351016521454,0.13494977355003357,equivalent,,0.48742371797561646
o,xlsr,0.06390315294265747,0.03008885681629181,0.09771745651960373,equivalent,,0.48742371797561646
u,xlsr,0.06966696679592133,0.03480904921889305,0.1045248806476593,equivalent,,0.48742371797561646
y,xlsr,0.07069654762744904,0.03751293942332268,0.1038801521062851,equivalent,,0.48742371797561646
